,bagni,locali,piano,prezzo(€),superficie
2595,2,3,2,€ 389.000,100
2596,3+,5+,,€ 159.000,350
2597,2,5,4,€ 630.000,200
2598,3,5+,1,€ 1.299.000,188
2599,1,3,2,€ 165.000,65
2600,1,2,T,€ 99.000,25
2601,1,1,1,€ 79.000,30
2602,1,2,A,€ 240.000,62
2603,2,4,A,€ 297.000,100
2604,1,2,7,€ 320.000,44
2605,1,2,4,€ 159.000,65
2606,1,1,,€ 133.000,43
2607,,2-3,,€ 141.000,54
2608,2,3,R,€ 250.000,77
2609,,5+,,€ 430.000,180
2610,1,4,,€ 159.000,95
2611,1,2,2,€ 135.000,45
2612,2,5+,A,€ 319.000,211
2613,1,4,3,€ 395.000,105
2614,1,2,5,€ 169.000,74
2615,1,2,1,€ 175.000,56
2616,1,3,3,€ 239.000,85
2617,2,3,6,€ 319.000,110
2618,,2-3,,€ 255.000,68
2619,1,3,1,€ 270.000,53
2620,1,5,A,€ 399.000,120
2621,2,4,R,€ 550.000,170
2622,1,2,3,€ 185.000,53
2623,1,4,4,€ 430.000,85
2624,2,5+,R,€ 570.000,140
2625,1,3,2,€ 179.000,100
2626,1,3,2,€ 275.000,111
2627,,3,4,€ 365.000,80
2628,2,4,1,€ 389.000,125
2629,2,3,2,€ 190.000,130
2630,1,2,T,€ 248.000,50
2631,2,3,A,€ 660.000,100
2632,2,5,3,€ 1.100.000,133
2633,2,2,A,€ 425.000,60
2634,3+,5+,A,€ 2.900.000,340
2635,2,3,3,€ 380.000,95
2636,2,3,3,€ 361.000,68
2637,2,3,,€ 630.000,95
2638,,2-3,,€ 201.113,67
2639,1,2,3,€ 129.000,35
2640,3,4,4,€ 650.000,160
2641,1,3,3,€ 319.000,78
2642,1,3,2,€ 235.000,90
2643,1,2,7,€ 195.000,65
2644,2,3,1,€ 285.000,90
2645,2,4,1,€ 140.000,100
2646,3,5,,€ 420.000,230
2647,2,4,1,€ 465.000,120
2648,2,4,2,€ 249.000,125
2649,2,4,4,€ 420.000,153
2650,1,3,4,€ 290.000,102
2651,2,4,A,€ 249.000,75
2652,1,2,2,€ 159.000,57
2653,1,2,1,€ 199.000,84
2654,1,2,4,€ 140.000,74
2655,3,5,,€ 335.000,180
2656,1,2,7,€ 165.000,79
2657,1,3,1,€ 315.000,100
2658,3,5,,€ 400.000,180
2659,1,3,1,€ 320.000,100
2660,2,4,A,€ 215.000,100
2661,1,3,T,€ 450.000,90
2662,1,3,1,€ 398.000,85
2663,1,3,3,€ 199.000,100
2664,1,3,1,€ 269.000,90
2665,1,2,3,€ 235.000,72
2666,1,2,2,€ 219.000,71
2667,1,3,5,€ 259.000,90
2668,1,1,1,€ 218.000,50
2669,3+,5+,5,€ 2.500.000,246
2670,2,3,3,€ 340.000,90
2671,3,5+,1,€ 1.080.000,150
2672,3+,5+,5,€ 3.700.000,260
2673,2,5+,3,€ 2.500.000,260
2674,3,5+,3,€ 1.480.000,250
2675,1,4,1,€ 189.999,69
2676,1,2,2,€ 145.000,58
2677,1,2,2,€ 280.000,60
2678,2,3,,€ 245.000,75
2679,1,3,1,€ 315.000,110
2680,1,3,T,€ 220.000,60
2681,3+,5+,A,€ 1.480.000,265
2682,2,5+,,€ 499.000,180
2683,2,5,,€ 389.000,150
2684,2,5,3,€ 420.000,143
2685,1,2,A,€ 219.000,75
2686,1,3,1,€ 270.000,100
2687,3+,5+,,€ 1.650.000,450
2688,1,3,1,€ 179.000,82
2689,3,4,T,€ 380.000,135
2690,1,2,,€ 149.000,45
2691,1,2,R,€ 144.000,60
2692,3+,5+,,€ 550.000,260
2693,2,5+,5,€ 330.000,160
2694,2,3,3,€ 320.000,140
2695,3+,5+,,€ 1.390.000,790
2696,1,1,3,€ 159.000,48
2697,1,3,3,€ 420.000,82
2698,1,2,5,€ 205.000,51
2699,1,4,7,€ 299.000,100
2700,1,2,4,€ 298.000,92
2701,2,5,A,€ 480.000,182
2702,1,1,4,€ 189.000,45
2703,2,5+,,€ 320.000,150
2704,3,5,R,€ 730.000,160
2705,2,3,A,€ 320.000,110
2706,3,5,,€ 193.000,200
2707,1,3,2,€ 480.000,80
2708,1,2,T,€ 129.000,60
2709,3,5+,,€ 295.000,185
2710,2,4,1,€ 172.700,105
2711,1,2,1,€ 105.000,52
2712,1,3,3,€ 245.000,88
2713,1,3,6,€ 310.000,79
2714,1,3,1,€ 255.000,100
2715,2,4,1,€ 389.000,140
2716,2,3,4,€ 355.000,95
2717,2,5+,1,€ 750.000,174
2718,1,2,5,€ 215.000,65
2719,,3,2,€ 295.000,113
2720,,5+,3,€ 900.000,313
2721,1,2,1,€ 139.000,50
2722,1,2,3,€ 159.000,50
2723,2,3,R,€ 990.000,145
2724,2,2,1,€ 260.000,80
2725,2,5,3,€ 1.250.000,197
2726,1,3,,€ 230.000,73
2727,,,,€ 76.000,32
2728,3,5+,3,€ 1.380.000,250
2729,2,4,,€ 277.000,110
2730,2,4,3,€ 640.000,140
2731,1,3,T,€ 280.000,95
2732,1,2,3,€ 189.000,58
2733,1,4,3,€ 485.000,143
2734,3,5+,2,€ 665.000,232
2735,1,3,R,€ 330.000,100
2736,3+,5+,2,€ 1.250.000,354
2737,3+,5+,,€ 3.500.000,300
2738,2,3,1,€ 380.000,97
2739,1,5,1,€ 235.000,91
2740,2,3,A,€ 315.000,90
2741,2,4,3,€ 790.000,150
2742,2,4,T,€ 549.000,120
2743,2,4,A,€ 590.000,130
2744,2,5,2,€ 690.000,142
2745,2,4,3,€ 535.000,143
2746,1,3,4,€ 245.000,100
2747,1,3,A,€ 437.000,108
2748,3,5,R,€ 435.000,160
2749,1,1,A,€ 420.000,55
2750,2,3,1,€ 189.000,97
2751,1,2,1,€ 149.000,65
2752,1,4,1,€ 535.000,140
2753,1,2,3,€ 149.000,50
2754,3,5,2,€ 1.600.000,320
2755,1,3,5,€ 265.000,97
2756,1,3,,€ 165.000,100
2757,1,3,2,€ 590.000,110
2758,1,1,4,€ 145.000,39
2759,1,2,1,€ 250.000,72
2760,1,3,1,€ 370.000,70
2761,2,5+,A,€ 1.650.000,200
2762,1,1,6,€ 185.000,50
2763,2,4,1,€ 500.000,100
2764,1,2,1,€ 240.000,60
2765,1,2,A,€ 149.000,46
2766,1,2,R,€ 119.000,25
2767,1,3,T,€ 330.000,90
2768,2,4,7,€ 469.000,140
2769,2,4,T,€ 440.000,130
2770,3+,5+,,€ 245.000,130
2771,3+,,,€ 59.000,18
2772,,4-5,,€ 275.000,95
2773,1,2,,€ 229.000,65
2774,2,4,2,€ 480.000,100
2775,2,3,1,€ 444.000,108
2776,1,3,,€ 228.000,85
2777,1,3,1,€ 255.000,110
2778,1,3,3,€ 129.000,65
2779,1,2,T,€ 99.000,50
2780,2,5+,R,€ 795.000,173
2781,3,5+,T,€ 1.050.000,267
2782,1,5+,,€ 251.250,133
2783,3,4,4,€ 1.250.000,235
2784,1,2,A,€ 189.000,53
2785,2,3,T,€ 199.000,115
2786,1,2,5,€ 340.000,63
2787,1,2,T,€ 270.000,83
2788,1,2,6,€ 185.000,70
2789,2,3,T,€ 420.000,108
2790,3,5,A,€ 650.000,160
2791,1,2,2,€ 590.000,92
2792,2,3,1,€ 475.000,85
2793,2,4,4,€ 450.000,133
2794,2,2,,€ 225.000,75
2795,2,4,3,€ 395.000,135
2796,1,2,4,€ 190.000,61
2797,2,5,4,€ 660.000,150
2798,1,4,3,€ 620.000,106
2799,1,2,2,€ 240.000,51
2800,1,2,2,€ 330.000,50
2801,1,2,1,€ 529.000,70
2802,2,4,,€ 409.000,95
2803,1,3,4,€ 565.000,105
2804,2,3,,€ 300.000,110
2805,2,5,3,€ 290.000,132
2806,1,2,1,€ 245.000,54
2807,1,3,T,€ 445.000,113
2808,3,5,,€ 320.000,180
2809,2,3,5,€ 425.000,123
2810,1,2,2,€ 260.000,56
2811,1,2,7,€ 149.000,74
2812,2,2,A,,92
2813,1,3,,€ 220.000,98
2814,1,2,1,€ 120.000,60
2815,2,4,1,€ 399.000,130
2816,2,4,1,€ 710.000,150
2817,2,4,1,€ 480.000,130
2818,1,3,1,€ 199.000,75
2819,2,5,A,€ 159.000,140
2820,1,2,A,€ 169.000,80
2821,3,5+,2,€ 1.150.000,270
2822,1,2,3,€ 298.000,68
2823,,5+,1,€ 495.000,145
2824,1,2,2,€ 640.000,73
2825,1,2,2,€ 340.000,40
2826,2,3,3,€ 310.000,124
2827,1,1,2,€ 49.000,35
2828,3+,5+,,€ 545.000,190
2829,1,4,S,€ 450.000,110
2830,1,2,T,€ 115.000,65
2831,2,2,,€ 269.000,130
2832,1,3,T,€ 265.000,85
2833,2,4,4,€ 475.000,130
2834,3+,5+,,€ 1.400.000,400
2835,2,4,2,€ 435.000,140
2836,3+,5,T,€ 299.000,320
2837,2,3,2,€ 460.000,110
2838,2,4,A,€ 395.000,113
2839,2,4,A,€ 410.000,128
2840,1,2,2,€ 299.000,65
2841,2,3,7,€ 400.000,100
2842,2,5,2,€ 975.000,140
2843,3,4,T,€ 980.000,190
2844,1,2,1,€ 159.000,75
2845,2,3,2,€ 186.000,84
2846,2,4,A,€ 890.000,194
2847,1,3,T,€ 300.000,66
2848,2,3,,€ 180.000,97
2849,3+,5+,,,2.240
2850,2,5,2,€ 155.000,165
2851,3,3,R,€ 295.000,80
2852,1,2,2,€ 468.000,76
2853,1,3,1,€ 239.000,80
2854,2,3,3,€ 850.000,145
2855,2,4,3,€ 680.000,145
2856,1,2,8,€ 255.000,70
2857,1,3,2,€ 189.000,100
2858,2,4,3,€ 240.000,105
2859,2,3,2,€ 349.000,130
2860,2,4,,€ 300.000,115
2861,1,2,A,€ 245.000,70
2862,1,2,4,€ 320.000,70
2863,2,4,A,€ 480.000,151
2864,1,2,3,€ 125.000,57
2865,2,3,1,€ 295.000,90
2866,1,3,T,€ 195.000,85
2867,2,3,1,€ 318.000,95
2868,2,5,A,€ 480.000,129
2869,2,5+,A,€ 3.600.000,190
2870,1,3,1,€ 287.000,95
2871,2,5,1,€ 385.000,170
2872,2,3,A,€ 519.000,140
2873,1,4,2,€ 329.000,117
2874,2,5+,4,€ 739.000,163
2875,3,4,,€ 275.000,110
2876,2,5,5,€ 389.000,140
2877,1,3,1,€ 138.000,102
2878,3,5,,€ 320.000,140
2879,1,3,1,€ 235.000,57
2880,2,3,T,€ 175.000,85
2881,2,5+,3,€ 620.000,140
2882,2,3,4,€ 359.000,101
2883,2,4,T,€ 339.000,82
2884,3+,5,5,€ 1.100.000,195
2885,1,2,S,€ 145.000,50
2886,2,4,,€ 320.000,130
2887,2,4,1,€ 289.000,113
2888,2,3,4,€ 149.000,90
2889,3,5,6,€ 550.000,160
2890,,,,€ 300.000,115
2891,1,3,2,€ 275.000,80
2892,2,4,2,€ 420.000,102
2893,1,3,2,€ 129.000,65
2894,1,3,R,€ 135.000,70
2895,1,3,R,€ 129.000,80
2896,3,5+,A,€ 795.000,180
2897,1,3,3,€ 370.000,100
2898,1,3,2,€ 160.000,70
2899,3+,5,7,€ 900.000,195
2900,1,3,2,€ 369.000,132
2901,1,2,2,€ 179.000,65
2902,3,5+,2,€ 1.550.000,278
2903,2,5+,2,€ 1.090.000,235
2904,2,4,3,€ 467.400,118
2905,1,2,T,€ 135.000,40
2906,1,2,1,€ 218.000,65
2907,1,2,8,€ 265.000,55
2908,2,4,2,€ 560.000,230
2909,3+,5+,5,€ 670.000,150
2910,3+,5+,,€ 540.000,280
2911,2,4,6,€ 580.000,135
2912,1,3,A,€ 320.000,80
2913,1,1,R,€ 205.000,30
2914,2,5+,3,€ 790.000,170
2915,2,4,,€ 420.000,154
2916,1,3,1,€ 370.000,105
2917,2,5,5,€ 450.000,155
2918,2,2,2,€ 350.000,70
2919,1,4,R,€ 269.000,90
2920,1,2,2,€ 220.000,65
2921,2,4,T,€ 390.000,112
2922,2,5,3,€ 929.000,173
2923,2,4,3,€ 660.000,210
2924,1,3,4,€ 269.000,90
2925,2,4,2,€ 750.000,165
2926,2,4,4,€ 540.000,139
2927,1,2,3,€ 250.000,43
2928,1,2,2,€ 159.000,55
2929,1,3,T,€ 265.000,75
2930,1,3,5,€ 235.000,105
2931,2,4,1,€ 479.000,120
2932,1,3,2,€ 169.000,90
2933,1,2,6,€ 235.000,75
2934,3+,5+,,€ 6.200.000,810
2935,1,3,1,€ 575.000,120
2936,2,4,T,€ 349.000,125
2937,1,3,R,€ 185.000,89
2938,1,3,T,€ 340.000,100
2939,2,3,,€ 200.000,85
2940,2,3,A,€ 475.000,120
2941,1,3,1,€ 460.000,90
2942,2,5+,3,€ 870.000,130
2943,2,4,2,€ 549.000,145
2944,3,5+,5,€ 820.000,201
2945,1,2,T,€ 109.000,60
2946,1,3,1,€ 269.000,69
2947,2,3,8,€ 489.000,90
2948,2,3,1,€ 434.000,117
2949,3,3,3,€ 1.350.000,162
2950,2,5,A,€ 980.000,135
2951,3+,5+,1,€ 1.890.000,420
2952,2,3,1,€ 449.000,129
2953,1,3,3,€ 269.000,80
2954,2,5,T,€ 880.000,170
2955,2,4,1,€ 495.000,150
2956,2,4,1,€ 550.000,135
2957,1,2,2,€ 155.000,60
2958,2,3,,€ 650.000,110
2959,1,2,1,€ 249.000,50
2960,1,3,T,€ 342.000,9
2961,,,,€ 388.800,393
2962,3,5+,4,€ 1.950.000,263
2963,1,5,4,€ 490.000,122
2964,2,4,6,€ 380.000,130
2965,2,3,A,€ 690.000,160
2966,3,5+,A,€ 1.690.000,230
2967,2,5+,3,€ 399.000,180
2968,2,5+,3,€ 980.000,207
2969,2,4,4,€ 339.000,100
2970,1,3,2,€ 230.000,75
2971,3,5,3,€ 2.350.000,290
2972,1,2,1,€ 170.000,65
2973,3,5,T,€ 399.000,225
2974,1,2,A,€ 259.000,65
2975,2,5,5,€ 990.000,165
2976,1,3,2,€ 199.000,80
2977,1,2,4,€ 199.000,60
2978,2,5+,,€ 930.000,205
2979,2,5,2,€ 335.000,140
2980,1,2,4,€ 155.000,55
2981,1,3,2,€ 235.000,90
2982,2,3,A,€ 320.000,170
2983,1,3,7,€ 339.000,90
2984,2,3,8,€ 585.000,115
2985,2,3,2,€ 375.000,72
2986,2,5+,A,€ 1.090.000,257
2987,2,5,1,€ 419.000,160
2988,1,2,,€ 135.000,50
2989,3,4,4,€ 619.000,156
2990,2,4,1,€ 680.000,184
2991,3+,5,2,€ 2.100.000,300
2992,1,2,4,€ 159.000,51
2993,1,3,R,€ 200.000,70
2994,2,4,1,€ 280.000,125
2995,2,5+,2,€ 410.000,185
2996,1,3,A,€ 429.000,95
2997,1,2,3,€ 159.000,64
2998,3,5,4,€ 399.000,140
2999,3,4,1,€ 245.000,157
3000,1,3,T,€ 210.000,54
3001,1,2,T,€ 300.000,80
3002,2,3,4,€ 285.000,76
3003,2,3,R,,97
3004,2,3,T,€ 368.000,96
3005,1,3,1,€ 158.000,55
3006,1,2,1,€ 229.000,65
3007,1,3,4,€ 250.000,93
3008,3,5,A,€ 540.000,149
3009,2,4,,€ 110.000,75
3010,1,2,1,€ 270.000,61
3011,2,3,4,€ 368.000,68
3012,1,2,T,€ 129.000,58
3013,1,2,2,€ 222.000,59
3014,1,3,T,€ 245.000,90
3015,1,3,1,€ 160.600,78
3016,1,2,T,€ 210.000,51
3017,1,2,T,€ 165.000,51
3018,2,3,1,€ 315.000,106
3019,1,2,1,€ 143.000,53
3020,2,3,T,€ 460.000,120
3021,2,4,,€ 330.000,109
3022,1,2,4,€ 188.000,53
3023,1,4,4,€ 292.000,99
3024,1,2,4,€ 295.000,58
3025,1,3,3,€ 235.000,67
3026,2,4,1,€ 450.000,105
3027,2,4,S,€ 410.000,120
3028,1,3,T,€ 230.000,72
3029,1,2,3,€ 118.000,66
3030,1,3,2,€ 340.000,96
3031,2,3,3,€ 186.000,104
3032,2,3,T,€ 394.000,132
3033,2,3,1,€ 295.000,76
3034,2,4,1,€ 210.000,109
3035,3,5+,A,€ 339.000,170
3036,1,3,1,€ 159.000,79
3037,2,5,T,€ 639.000,166
3038,2,5,3,€ 460.000,140
3039,2,5,5,€ 530.000,124
3040,1,3,R,€ 380.000,69
3041,1,3,1,€ 325.000,90
3042,2,5,1,€ 320.000,139
3043,2,5+,4,€ 690.000,170
3044,1,3,1,€ 104.000,61
3045,1,2,T,€ 325.000,91
3046,2,3,2,€ 469.000,101
3047,2,3,3,€ 519.000,110
3048,3+,5+,3,€ 729.000,160
3049,2,2,S,€ 220.000,83
3050,2,4,4,€ 285.000,101
3051,1,3,4,€ 570.000,100
3052,1,3,2,€ 195.000,87
3053,2,5,2,€ 480.000,151
3054,2,3,1,€ 310.000,83
3055,2,4,5,€ 490.000,125
3056,1,2,A,€ 265.000,70
3057,1,3,A,€ 187.000,98
3058,1,2,1,€ 163.000,56
3059,2,3,2,€ 319.000,80
3060,1,3,3,€ 235.000,90
3061,2,3,4,€ 850.000,89
3062,1,3,8,€ 480.000,90
3063,3+,5+,,€ 1.800.000,500
3064,2,5,T,€ 699.000,217
3065,1,3,S,€ 159.000,90
3066,3+,5+,,€ 1.790.000,976
3067,2,3,1,€ 375.000,83
3068,3+,4,,€ 229.000,
3069,1,3,3,€ 299.000,86
3070,3,4,A,€ 2.090.000,140
3071,1,3,2,€ 224.000,75
3072,1,4,4,€ 415.000,115
3073,2,3,2,€ 209.000,100
3074,2,3,1,€ 290.000,70
3075,2,5,1,€ 470.000,130
3076,1,2,S,€ 198.000,45
3077,2,5+,2,€ 670.000,194
3078,2,4,3,€ 550.000,110
3079,2,4,A,€ 790.000,180
3080,2,3,4,€ 258.000,90
3081,1,2,2,€ 145.000,72
3082,1,2,T,€ 189.000,52
3083,1,4,T,€ 279.000,125
3084,1,2,7,€ 220.000,70
3085,,,,€ 795.000,205
3086,2,3,1,€ 239.000,80
3087,2,5,A,€ 490.000,144
3088,1,3,1,€ 175.000,85
3089,2,4,R,€ 189.000,131
3090,3,5+,2,€ 770.000,180
3091,2,4,3,€ 245.000,95
3092,1,2,A,€ 285.000,80
3093,1,1,1,€ 123.000,39
3094,2,4,6,€ 320.000,120
3095,1,2,R,€ 130.000,50
3096,2,3,A,€ 439.000,87
3097,3,5,T,€ 399.000,130
3098,2,1,1,€ 309.000,119
3099,2,3,1,€ 348.000,89
3100,2,3,5,€ 310.000,97
3101,2,5+,1,€ 1.150.000,215
3102,2,3,3,€ 279.000,90
3103,2,4,1,€ 273.000,120
3104,1,2,6,€ 279.000,70
3105,3,5+,2,€ 850.000,235
3106,1,2,T,€ 89.000,30
3107,1,3,2,€ 220.000,68
3108,1,3,1,€ 280.000,112
3109,2,4,1,€ 320.000,130
3110,3+,5+,4,€ 2.280.000,320
3111,2,3,3,€ 349.000,85
3112,1,3,3,€ 215.000,75
3113,2,4,2,€ 339.000,110
3114,3+,5+,,€ 600.000,368
3115,1,4,1,€ 209.000,115
3116,1,3,,€ 159.000,55
3117,1,2,T,€ 110.000,65
3118,1,4,A,€ 155.000,75
3119,3,5+,,€ 215.000,140
3120,2,3,,€ 260.000,100
3121,2,5+,3,€ 1.180.000,230
3122,2,3,2,€ 158.000,90
3123,1,4,3,€ 245.000,95
3124,2,4,A,€ 535.000,140
3125,1,1,T,€ 113.000,42
3126,2,3,4,€ 288.000,110
3127,2,3,T,€ 499.000,130
3128,1,3,8,€ 275.000,85
3129,1,3,1,€ 199.000,100
3130,1,4,1,€ 159.000,78
3131,2,3,4,€ 475.000,122
3132,2,5+,2,€ 395.000,155
3133,2,5,3,€ 440.000,142
3134,2,5,R,€ 465.000,171
3135,3,5,3,€ 2.350.000,275
3136,2,3,A,€ 169.000,73
3137,3+,5+,,€ 419.000,296
3138,1,3,6,€ 280.000,95
3139,1,2,R,€ 249.000,90
3140,1,3,R,€ 120.000,68
3141,2,3,1,€ 269.000,128
3142,2,4,3,€ 360.000,130
3143,2,3,5,€ 330.000,100
3144,1,2,T,€ 145.000,40
3145,3+,5+,4,€ 1.280.000,262
3146,2,3,1,€ 225.000,95
3147,3,5+,3,€ 920.000,140
3148,1,2,2,€ 525.000,78
3149,3,5+,A,€ 1.250.000,250
3150,2,4,3,€ 520.000,120
3151,3,4,,€ 410.000,210
3152,1,2,2,€ 177.000,55
3153,1,2,1,€ 299.000,60
3154,1,3,1,€ 349.000,85
3155,2,5+,3,€ 2.500.000,250
3156,1,2,R,€ 94.000,42
3157,1,2,1,€ 335.000,40
3158,1,2,2,€ 139.000,45
3159,1,3,3,€ 229.000,90
3160,1,3,A,€ 500.000,85
3161,1,3,2,€ 169.000,75
3162,2,5,3,€ 560.000,150
3163,3+,5+,,€ 678.000,270
3164,1,3,2,€ 229.000,83
3165,2,3,1,€ 199.000,110
3166,2,3,1,€ 248.000,92
3167,1,2,T,€ 220.000,70
3168,1,2,2,€ 115.000,50
3169,1,2,1,€ 239.000,80
3170,3,5,3,€ 615.000,150
3171,1,4,3,€ 249.000,103
3172,2,5,A,€ 569.000,120
3173,1,2,,€ 129.000,34
3174,,,,€ 298.500,83
3175,2,3,S,€ 299.000,90
3176,3,4,7,€ 599.000,109
3177,3,4,2,€ 1.150.000,180
3178,1,3,T,€ 180.000,75
3179,1,2,2,€ 169.000,75
3180,1,1,6,€ 174.000,43
3181,2,4,R,€ 520.000,120
3182,1,2,T,€ 190.000,55
3183,1,3,4,€ 215.000,85
3184,2,4,7,€ 420.000,140
3185,2,3,4,€ 1.000.000,110
3186,2,4,A,€ 450.000,126
3187,3,5,A,€ 1.050.000,280
3188,1,3,2,€ 178.000,70
3189,2,3,A,€ 269.000,91
3190,2,2,R,€ 480.000,70
3191,1,1,T,€ 85.000,39
3192,2,4,R,€ 419.000,115
3193,3+,5+,,€ 525.000,190
3194,3+,5+,,€ 950.000,600
3195,2,4,2,€ 560.000,147
3196,1,2,A,€ 470.000,80
3197,1,3,A,€ 227.000,60
3198,2,4,1,€ 425.000,128
3199,1,4,3,€ 265.000,116
3200,1,5,3,€ 1.080.000,175
3201,1,3,6,€ 225.000,100
3202,1,2,A,€ 230.000,80
3203,1,3,1,€ 465.000,100
3204,1,2,R,€ 175.000,65
3205,3,5+,,€ 299.000,150
3206,3,5,,€ 209.000,151
3207,1,2,2,€ 285.000,73
3208,2,4,6,€ 228.000,96
3209,2,4,A,€ 299.000,114
3210,2,3,T,€ 175.000,88
3211,2,4,T,€ 695.000,120
3212,2,3,1,€ 169.000,70
3213,1,3,1,€ 360.000,130
3214,3,5,,€ 365.000,250
3215,2,5,A,€ 499.000,155
3216,2,4,1,€ 375.000,135
3217,1,3,A,€ 1.150.000,100
3218,2,3,,€ 230.000,75
3219,1,3,1,€ 420.000,80
3220,2,4,2,€ 295.000,102
3221,2,4,4,€ 690.000,120
3222,2,3,1,€ 370.000,105
3223,3+,5+,4,€ 890.000,204
3224,3+,5+,2,,435
3225,2,3,3,€ 525.000,155
3226,3,5+,A,€ 900.000,220
3227,2,4,1,€ 495.000,145
3228,2,3,4,€ 460.000,100
3229,2,4,5,€ 349.000,145
3230,3+,5,4,€ 750.000,110
3231,2,3,2,€ 410.000,105
3232,2,3,R,€ 235.000,92
3233,2,4,4,€ 279.000,90
3234,2,4,4,€ 650.000,120
3235,2,4,4,€ 390.000,146
3236,1,4,5,€ 250.000,112
3237,3,5+,1,€ 580.000,240
3238,2,5,3,€ 580.000,150
3239,2,5,3,€ 260.000,130
3240,2,5,2,€ 1.050.000,170
3241,1,3,4,€ 650.000,113
3242,3+,5+,A,€ 2.900.000,280
3243,1,2,6,€ 205.000,42
3244,1,3,1,€ 220.000,90
3245,1,1,T,€ 315.000,40
3246,1,3,2,€ 259.000,100
3247,2,4,6,€ 475.000,129
3248,1,3,2,€ 369.000,90
3249,2,3,2,€ 390.000,110
3250,2,3,4,€ 290.000,90
3251,1,2,T,€ 130.000,40
3252,1,3,6,€ 239.000,95
3253,1,4,1,€ 219.000,110
3254,3,5+,4,€ 1.190.000,200
3255,2,5,T,€ 695.000,146
3256,3+,5,4,€ 440.000,150
3257,2,4,A,€ 651.500,165
3258,2,4,6,€ 380.000,125
3259,2,5,2,€ 480.000,150
3260,2,3,1,€ 890.000,90
3261,1,4,A,€ 298.000,115
3262,2,3,5,€ 189.000,101
3263,1,4,3,€ 199.000,100
3264,3,5+,1,€ 1.350.000,240
3265,1,3,T,€ 185.000,80
3266,1,5+,S,€ 195.000,65
3267,1,3,5,€ 539.000,97
3268,2,4,A,€ 440.000,120
3269,1,3,2,€ 218.200,85
3270,2,3,6,€ 399.000,75
3271,1,2,T,€ 178.000,57
3272,1,2,1,€ 171.000,56
3273,2,3,1,€ 249.000,103
3274,1,3,1,€ 259.000,98
3275,3,4,,€ 429.000,140
3276,1,4,,€ 191.000,73
3277,2,3,1,€ 228.000,73
3278,1,3,T,€ 299.000,75
3279,1,2,R,€ 220.000,60
3280,2,4,5,€ 599.000,120
3281,2,4,2,€ 850.000,162
3282,3,5+,A,€ 775.000,180
3283,2,3,5,€ 470.000,138
3284,1,3,2,€ 145.000,80
3285,3,5+,3,€ 790.000,145
3286,,1-3,,€ 165.000,45
3287,2,5+,3,€ 980.000,175
3288,2,4,3,€ 660.000,205
3289,2,3,1,€ 780.000,129
3290,2,4,1,€ 540.000,159
3291,2,3,4,€ 1.000.000,88
3292,3,4,T,€ 648.000,150
3293,1,3,R,€ 195.000,64
3294,2,4,S,€ 310.000,100
3295,2,5,2,€ 225.000,101
3296,3+,5,,€ 445.000,150
3297,2,5+,1,€ 675.000,130
3298,3,5,,€ 249.000,150
3299,1,3,T,€ 299.000,70
3300,3+,5,A,€ 1.650.000,211
3301,1,2,A,€ 269.000,43
3302,1,3,2,€ 215.000,65
3303,2,3,T,€ 175.000,81
3304,2,3,R,€ 220.000,80
3305,3,4,5,€ 2.200.000,231
3306,3,5,2,€ 545.000,173
3307,2,3,4,€ 430.000,105
3308,1,3,T,€ 169.000,70
3309,1,3,A,€ 349.000,90
3310,1,3,T,€ 280.000,85
3311,1,2,1,€ 145.000,56
3312,1,3,1,€ 460.000,100
3313,2,4,2,€ 249.000,135
3314,2,5+,3,€ 399.000,122
3315,1,3,S,€ 279.000,90
3316,2,4,R,€ 740.000,110
3317,2,3,2,€ 169.000,90
3318,3,4,4,€ 495.000,120
3319,2,4,R,€ 245.000,97
3320,2,5,A,€ 465.000,120
3321,3,5+,T,€ 395.000,202
3322,3+,5,,€ 375.000,250
3323,3,5+,A,€ 998.000,215
3324,1,2,A,€ 480.000,60
3325,2,4,4,,120
3326,1,3,A,€ 139.000,70
3327,3,5,A,€ 680.000,235
3328,1,2,3,€ 289.000,72
3329,2,3,4,€ 315.000,82
3330,1,4,,€ 450.000,150
3331,3,5,6,€ 650.000,160
3332,1,3,1,€ 185.000,72
3333,2,4,1,,120
3334,3,4,4,€ 650.000,150
3335,2,3,7,€ 275.000,90
3336,3,4,T,€ 560.000,120
3337,2,3,1,€ 219.000,80
3338,3+,5+,A,€ 1.250.000,275
3339,2,4,T,€ 310.000,105
3340,2,4,1,€ 680.000,164
3341,2,3,7,€ 310.000,95
3342,1,3,2,€ 183.000,90
3343,3,5+,3,€ 950.000,180
3344,1,3,R,€ 225.000,75
3345,2,4,2,€ 400.000,135
3346,2,3,1,€ 324.000,82
3347,1,1,1,€ 198.000,60
3348,,,,€ 234.000,50
3349,3,3,4,€ 1.250.000,170
3350,1,4,5,€ 289.000,95
3351,2,5,1,€ 720.000,120
3352,1,2,2,€ 172.000,49
3353,1,3,1,€ 205.000,80
3354,2,4,4,€ 730.000,170
3355,2,5,,€ 160.000,140
3356,2,5+,3,€ 1.350.000,210
3357,2,4,,€ 229.000,110
3358,2,3,,€ 249.000,135
3359,1,2,R,€ 289.000,55
3360,2,3,11+,€ 1.249.000,191
3361,1,2,A,€ 429.000,65
3362,2,5,2,€ 1.250.000,170
3363,1,2,1,€ 340.000,60
